D & B Used Cars|111 Old Benbrook Rd|817-555-5555
10112|1993|Ford|Explorer|SUV|Red|525123|995.000000
37846|2001|Ford|Ranger|Truck|Yellow|172544|1995.000000
44901|2012|Honda|Civic|SUV|Gray|103221|6995.000000
58213|2012|Toyota|Camry|Sedan|White|81631|10219.000000
23847|2010|Chevrolet|Impala|Sedan|Silver|98455|5899.000000
62439|2015|Nissan|Rogue|SUV|Blue|67430|11495.000000
71325|2008|Dodge|Ram 1500|Truck|Black|135782|7990.000000
89120|2017|Hyundai|Elantra|Sedan|White|45211|10450.000000
33014|2013|Jeep|Grand Cherokee|SUV|Green|90522|12899.000000
47215|2005|Ford|Focus|Sedan|Red|147345|3495.000000
51230|2016|Subaru|Outback|SUV|Brown|73200|13500.000000
68145|2011|Mazda|CX-7|SUV|Black|98834|8999.000000
79231|2018|Volkswagen|Passat|Sedan|Gray|60345|11995.000000
85472|2009|Chevrolet|Silverado 1500|Truck|Blue|142123|10499.000000
92534|2014|Kia|Sorento|SUV|White|81550|10950.000000
